Scenario,Replication,Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,11981
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,11901
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,12053
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,11869
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,11931
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,11851
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,12233
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,12182
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,12074
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0221297545613548
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0223358877215699
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0226113889887963
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0225041221075166
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0225899747013683
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0225005303219437
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0225945076557266
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0224197211636272
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0226081830371743
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.0223711857398306
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.220933928613036
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.220780998209648
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.199176249011146
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.226538265599636
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.224454611379159
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.24650766453739
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.236828814329442
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.263883835924069
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.195238576612908
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Maximum,0.212900839354873
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,12240
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,11981
